title,author,average_rating,language_code,num-pages,ratings_count,text_reviews_count,publisher,genres,years,author_birthplace,author_birthdate,author_gender
My Soul to Keep (African Immortals  #1),Tananarive_Due,4.17,eng,346,3799,361,Harper Voyager,Horror,1998,"Tallahassee, Florida, U.S.",1966,unknown
The Living Blood (African Immortals  #2),Tananarive_Due,4.34,en-US,515,1862,124,Washington Square Press,Horror,2002,"Tallahassee, Florida, U.S.",1966,unknown
The Good House,Tananarive_Due,3.94,eng,597,2679,365,Simon & Schuster,Horror,2006,"Tallahassee, Florida, U.S.",1966,unknown
Outside the Dog Museum (Answered Prayers  #4),Jonathan_Carroll,3.97,eng,267,1406,97,Orb Books,Horror,2005,"New York City, US",1949,male
The Land of Laughs,Jonathan_Carroll,3.9,eng,253,4337,352,Orb Books,Horror,2001,"New York City, US",1949,male
Sleeping in Flame (Answered Prayers  #2),Jonathan_Carroll,4.05,en-US,304,1543,76,Orb Books,Horror,2004,"New York City, US",1949,male
Where Are the Children?,Mary_Higgins_Clark,4.02,eng,304,39738,969,Pocket Books,Horror,2005,"New York City, U.S.",1927,mostly_female
Shooting Stars (Shooting Stars  #1-4),V._C._Andrews,3.94,en-US,656,1231,22,Pocket Books,Horror,2002,"Portsmouth, Virginia, U.S.",1923,unknown
The Death Collectors (Carson Ryder  #2),Jack_Kerley,3.94,eng,400,1088,78,Signet,Horror,2006,Birthplace information not found,Birthyear information not found,male
Interview with the Vampire (The Vampire Chronicles  #1),Anne_Rice,3.99,eng,342,433413,7368,Ballantine Books,Horror,2004,"New Orleans, Louisiana, U.S.",1941,female
Vampire Chronicles: Interview with the Vampire  The Vampire Lestat  The Queen of the Damned (Anne Rice),Anne_Rice,4.27,eng,9,10350,120,Random House Audio,Horror,1992,"New Orleans, Louisiana, U.S.",1941,female
Entrevista con el vampiro (Crónicas vampíricas  #1),Anne_Rice,3.99,spa,463,1307,93,Ediciones B,Horror,2005,"New Orleans, Louisiana, U.S.",1941,female
The Vampire Lestat (The Vampire Chronicles  #2),Anne_Rice,4.07,eng,481,156354,2720,Ballantine Books,Horror,2004,"New Orleans, Louisiana, U.S.",1941,female
Dead Sleep,Greg_Iles,4.05,eng,452,8124,475,Berkley Books,Horror,2002,"Stuttgart, West Germany", ,male
The Reality Dysfunction Part 2: Expansion (Night's Dawn 1),Peter_F._Hamilton,4.3,eng,572,4092,39,Aspect,Horror,1997,"Rutland, England", ,male
